blockNumber,transactionHash,direction,transactionTo,inputSelector
42506033,0x090e6f6c9e96f947ecb83b17e1c5146749e1034aa78685b1b28bf6d7d5fa0e16,sell-sentinel-for-weth,0x1C133F088ba344b8cf51549312BeD524DDcD7393,0x57d89f07
42506058,0x78523d00b46679e31b7453b0ddfcd639cb1bea583c5a0da5a423588ee6d1821f,buy-sentinel-with-weth,0x1C133F088ba344b8cf51549312BeD524DDcD7393,0x57d89f07
45750646,0xed3c6a34f746167edec7f0890f15bf582c3a11790223fd7ed5829c4fec5be6b8,buy-sentinel-with-weth,0x0000000000001fF3684f28c67538d4D072C22734,0x2213bc0b
45773361,0xea1d721350fc53230b5e6dc9867e5a2b0f2ff5fa0c84e566f82b81696e3be3c3,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
46942382,0x91a1c6c817cd631754ad264a05f2bc0ae8a0fee09888c4db3c16e4749b6dfe40,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47065603,0x9a55391ed70670351acf92569a2444535b0c896b34c40beb6a7a859b264fdcea,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47074766,0x4d7b1e080e9101ca45d687ab3895ba9f9892108785420e6804b6ca4d9227ddd4,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47080377,0x8f120ad095d6ee566e206ffee406638da787a98fd1ed0f25b6de7783dfb118be,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47080448,0x24a0dbb4487d435fc1dfeb22d692b506a4d51cd380a0e3ef1f0bb4a350536afc,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47188302,0xdf8cb464ca2ed072315fe9a3575c31a57c7433950cfbcf26cf690bf385f18db4,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47205167,0x49825cc5818a68994488eb3a8b81bbc81b65db67f4dd58bc4c36884c8a2a9a69,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47220589,0x2525bc509e7ca4b027a712030d242b02be19be329481d18a0fab337d6a9167d9,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47220644,0x816c493cc94b1cd0f977c66d39ffd19e7ce534ae56a9bc9ae9a38f65873b2cbb,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47307272,0xe6b1db617eab1e497411c8b4955fdd1078f0496e07ceac30897430ab75017c1c,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47308957,0x1b337769a6e9c39def09a3f475e14867b36b70167a0df8230003199df62fb349,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47314858,0x1a15761188ba8bb055fd003df05bbfa45e23670ff8bea533e9c1795a3a66f29b,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47314923,0xc84713809a0ae35b3eca6b035bb90da75999aa6cec42f2212aa87dd5657a07f1,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47325452,0x4953d964460ad027774efa43d6e119b5880c5ae607ed4292a40310fc3827393d,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47325580,0xf29999eb1322095241eba66e55882109a33df162fc5f8adfedbda1fd70ba1a9c,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47325770,0x2f0d2de51a3531b13929da07842bc7e672fb3c7cf689e5e89ae49b764e6e0d13,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47334638,0x679f2599f5d77894b2cabf11a9d3a305aa0ccc945628e17fbc93da194cd356ac,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47335050,0x3e447d4d69bdd330d716c98d112533560363bf5d277577109138de603d78b296,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47335238,0xad54d4ad435929eb13fd8da29f8d3805c3a34190f4c847d9768149009e19b0d3,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47335357,0x83fe096c2c478216e325605eaf3dcb2b95ee5e397e35ca8c88d0ef2feb0e3072,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47376010,0x23cacb29cf0b4248989d4cf97b7c44cf498087d4117846e065b3bb6e8944b81f,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47399092,0x067ab6726ed8772955272bf365049cc35a19cdb3c4196ad0a2ebceb2b189ef05,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
47541243,0x4f8ce8046c5d6ed764258b0bc7be1014c6c06bfd4fcb54f22506f2c146d877cd,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48003485,0x8761f1334c55a897a0e5bba89b8e73f39142c087086388eb19b2d1c77c570369,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48035599,0x3bf44c12bd90428f6c0e924784812f415e6fd6f0719fff575367947bba96fcf1,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48039580,0x5b8e20538a2bca6673dcb668b3a8c08603004d0bf20447a40056491100a47bcc,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48039589,0xb70aa60e33437dda402b7160ccfcb061cfc65e3ca9ef1bcce8064012ec7d672e,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48039622,0x6c6594c646a7dbe14ce52349ab3083b8a11be65c7f7bbd41ac1d107bef9471c3,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
